state,abbr,region,division,year,percent,state_int,state_slope,state_resid,division_int,division_slope,division_resid,region_int,region_slope,region_resid,tax_2011,tax_2017,delta_tax,num_of_preemptions,bar_restrictions,work_restrictions,restaurant_restrictions,funding_per_capita,expenditures_per_capita,percent_funding_used,fee_for_service_plans,managed_care_plans,quitline_calls_per_10000
Alabama,AL,South,East South Central,2017,20.9,23.667857142857148,-0.5321428571428589,0.42500000000000426,25.501785714285713,-0.5517857142857147,-1.2910714285714278,22.951680672268918,-0.6869747899159648,2.07016806722687,0.425,0.675,0.25000000000000006,0,None,Designated Areas,None,0.68,0.68,99.99999999999999,No,Not Applicable,9.2
Alabama,AL,South,East South Central,2016,21.5,23.667857142857148,-0.5321428571428589,0.4928571428571473,25.501785714285713,-0.5517857142857147,-1.2428571428571402,22.951680672268918,-0.6869747899159648,1.9831932773109067,0.425,0.675,0.25000000000000006,0,None,Designated Areas,None,0.68,0.68,99.99999999999999,No,Not Applicable,9.2
Alabama,AL,South,East South Central,2015,21.4,23.667857142857148,-0.5321428571428589,-0.13928571428571246,25.501785714285713,-0.5517857142857147,-1.8946428571428555,22.951680672268918,-0.6869747899159648,1.1962184873949404,0.425,0.675,0.25000000000000006,0,None,Designated Areas,None,0.68,0.68,99.99999999999999,No,Not Applicable,9.2
Alabama,AL,South,East South Central,2014,21.1,23.667857142857148,-0.5321428571428589,-0.971428571428568,25.501785714285713,-0.5517857142857147,-2.7464285714285666,22.951680672268918,-0.6869747899159648,0.20924369747897842,0.425,0.675,0.25000000000000006,0,None,Designated Areas,None,0.68,0.68,99.99999999999999,No,Not Applicable,9.2
Alabama,AL,South,East South Central,2013,21.5,23.667857142857148,-0.5321428571428589,-1.1035714285714313,25.501785714285713,-0.5517857142857147,-2.8982142857142854,22.951680672268918,-0.6869747899159648,-0.07773109243698784,0.425,0.675,0.25000000000000006,0,None,Designated Areas,None,0.68,0.68,99.99999999999999,No,Not Applicable,9.2
Alabama,AL,South,East South Central,2012,23.8,23.667857142857148,-0.5321428571428589,0.664285714285711,25.501785714285713,-0.5517857142857147,-1.1499999999999986,22.951680672268918,-0.6869747899159648,1.535294117647048,0.425,0.675,0.25000000000000006,0,None,Designated Areas,None,0.68,0.68,99.99999999999999,No,Not Applicable,9.2
Alabama,AL,South,East South Central,2011,24.3,23.667857142857148,-0.5321428571428589,0.6321428571428527,25.501785714285713,-0.5517857142857147,-1.2017857142857125,22.951680672268918,-0.6869747899159648,1.3483193277310832,0.425,0.675,0.25000000000000006,0,None,Designated Areas,None,0.68,0.68,99.99999999999999,No,Not Applicable,9.2
Kentucky,KY,South,East South Central,2017,24.6,28.72142857142857,-0.7642857142857141,0.4642857142857153,25.501785714285713,-0.5517857142857147,2.408928571428575,22.951680672268918,-0.6869747899159648,5.770168067226873,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225
Kentucky,KY,South,East South Central,2016,24.5,28.72142857142857,-0.7642857142857141,-0.40000000000000213,25.501785714285713,-0.5517857142857147,1.7571428571428598,22.951680672268918,-0.6869747899159648,4.983193277310907,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225
Kentucky,KY,South,East South Central,2015,25.9,28.72142857142857,-0.7642857142857141,0.235714285714284,25.501785714285713,-0.5517857142857147,2.6053571428571445,22.951680672268918,-0.6869747899159648,5.69621848739494,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225
Kentucky,KY,South,East South Central,2014,26.2,28.72142857142857,-0.7642857142857141,-0.2285714285714313,25.501785714285713,-0.5517857142857147,2.3535714285714313,22.951680672268918,-0.6869747899159648,5.309243697478976,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225
Kentucky,KY,South,East South Central,2013,26.5,28.72142857142857,-0.7642857142857141,-0.6928571428571431,25.501785714285713,-0.5517857142857147,2.1017857142857146,22.951680672268918,-0.6869747899159648,4.922268907563012,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225
Kentucky,KY,South,East South Central,2012,28.3,28.72142857142857,-0.7642857142857141,0.34285714285714164,25.501785714285713,-0.5517857142857147,3.3500000000000014,22.951680672268918,-0.6869747899159648,6.035294117647048,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225
Kentucky,KY,South,East South Central,2011,29,28.72142857142857,-0.7642857142857141,0.27857142857142847,25.501785714285713,-0.5517857142857147,3.498214285714287,22.951680672268918,-0.6869747899159648,6.0483193277310825,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225
Mississippi,MS,South,East South Central,2017,22.2,25.346428571428575,-0.5821428571428584,0.3464285714285751,25.501785714285713,-0.5517857142857147,0.008928571428572951,22.951680672268918,-0.6869747899159648,3.370168067226871,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425
Mississippi,MS,South,East South Central,2016,22.7,25.346428571428575,-0.5821428571428584,0.264285714285716,25.501785714285713,-0.5517857142857147,-0.04285714285714093,22.951680672268918,-0.6869747899159648,3.183193277310906,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425
Mississippi,MS,South,East South Central,2015,22.5,25.346428571428575,-0.5821428571428584,-0.5178571428571423,25.501785714285713,-0.5517857142857147,-0.7946428571428541,22.951680672268918,-0.6869747899159648,2.296218487394942,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425
Mississippi,MS,South,East South Central,2014,23,25.346428571428575,-0.5821428571428584,-0.6000000000000014,25.501785714285713,-0.5517857142857147,-0.846428571428568,22.951680672268918,-0.6869747899159648,2.109243697478977,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425
Mississippi,MS,South,East South Central,2013,24.8,25.346428571428575,-0.5821428571428584,0.6178571428571438,25.501785714285713,-0.5517857142857147,0.4017857142857153,22.951680672268918,-0.6869747899159648,3.222268907563013,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425
Mississippi,MS,South,East South Central,2012,24,25.346428571428575,-0.5821428571428584,-0.764285714285716,25.501785714285713,-0.5517857142857147,-0.9499999999999993,22.951680672268918,-0.6869747899159648,1.7352941176470473,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425
Mississippi,MS,South,East South Central,2011,26,25.346428571428575,-0.5821428571428584,0.6535714285714249,25.501785714285713,-0.5517857142857147,0.49821428571428683,22.951680672268918,-0.6869747899159648,3.0483193277310825,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425
Tennessee,TN,South,East South Central,2017,22.6,24.271428571428572,-0.3285714285714298,0.3000000000000078,25.501785714285713,-0.5517857142857147,0.4089285714285751,22.951680672268918,-0.6869747899159648,3.770168067226873,0.62,0.62,0,3,None,Banned,Designated Areas,1.08,1.09,100.92592592592594,Not Applicable,No,6.7
Tennessee,TN,South,East South Central,2016,22.1,24.271428571428572,-0.3285714285714298,-0.5285714285714214,25.501785714285713,-0.5517857142857147,-0.6428571428571388,22.951680672268918,-0.6869747899159648,2.583193277310908,0.62,0.62,0,3,None,Banned,Designated Areas,1.08,1.09,100.92592592592594,Not Applicable,No,6.7
